CountryCode,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
ETH,76608431,78735675,80891968,83079608,85302099,87561814,89858696,92191211,94558374,96958732,99390750
EUU,496200867,498074489,499915977,501803925,503310374,504412209,505526581,505098575,508050888,508344735,509668361
FCS,382338023,392013911,401863906,411873180,421999099,432225198,442535318,452946224,463535772,474395380,485609230
FIN,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5482013
FJI,821820,827390,834729,843206,851854,859952,867327,874158,880487,886450,892145
FRA,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65659790,65972097,66495940,66808385
FRO,48337,48505,48599,48629,48613,48567,48492,48393,48292,48221,48199
FSM,106198,105680,105080,104472,103961,103619,103476,103516,103718,104044,104460
GAB,1377777,1408920,1440902,1473741,1507428,1541936,1577298,1613489,1650351,1687673,1725292
GBR,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65138232
GEO,4190000,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3679000
GHA,21389514,21951891,22528041,23115919,23713164,24317734,24928503,25544565,26164432,26786598,27409893
GIB,29080,29437,29770,30089,30407,30732,31067,31402,31720,31997,32217
GIN,9669023,9898301,10152521,10427356,10715770,11012406,11316351,11628767,11948726,12275527,12608590
GMB,1440542,1487731,1536424,1586749,1638899,1693002,1749099,1807108,1866878,1928201,1990924
GNB,1462784,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138,1800513,1844325
GNQ,625866,645718,665798,686223,707155,728710,750918,773729,797082,820885,845060
GRC,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10823732
GRD,102951,103259,103587,103934,104298,104677,105070,105476,105902,106349,106825
GRL,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114
GTM,13183505,13490041,13797629,14106687,14418033,14732261,15049280,15368759,15690793,16015494,16342897
GUM,158401,158429,158332,158310,158621,159440,160858,162807,165121,167543,169885
GUY,742495,743705,745638,748096,750749,753362,755883,758410,761033,763893,767085
HIC,1112235304,1120543449,1129339051,1138677189,1147005992,1154477199,1161326328,1166574800,1174927882,1180597445,1187189841
HKG,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500,7241700,7305700
HND,6880181,7007029,7133737,7259470,7383098,7503875,7621414,7736131,7849059,7961680,8075060
HPC,546329345,561934621,577914150,594288511,611087950,628333588,646028823,664163813,682730030,701714118,721104105
HRV,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4224404
HTI,9263409,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249,10572029,10711067
HUN,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9844686
IBD,4112488697,4155627832.32162,4198115070.01082,4240795661.56309,4283880651.52342,4326536937.58148,4369332638.08148,4412598769.67738,4456007248.14214,4499429071.34039,4542580688.37425
IBT,5426821986,5499192098.32162,5571443480.01082,5644543403.56309,5718852387.52342,5793949020.58148,5870148581.08148,5947367230.67738,6025553530.14214,6104461024.34039,6183634830.37425
IDA,1314333289,1343564266,1373328410,1403747742,1434971736,1467412083,1500815943,1534768461,1569546282,1605031953,1641054142
IDB,478749307,488079322,497712924,507660939,517916391,528772010,539941221,551030216,562377856,573991143,585760189
IDN,226254703,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276,254454778,257563815
IDX,835583982,855484944,875615486,896086803,917055345,938640073,960874722,983738245,1007168426,1031040810,1055293953
IMN,80345,81110,81914,82737,83548,84327,85069,85779,86462,87127,87780
IND,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1295291543,1311050527
IRL,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4617225,4640703
IRN,70122115,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445,78143644,79109272
IRQ,27017712,27716983,28423538,29163327,29970634,30868156,31867758,32957622,34107366,35273293,36423395
ISL,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330823
ISR,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380400
ITA,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60802085
JAM,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714669,2720554,2725941
JOR,5332982,5530218,5759424,6010035,6266865,6517912,6760371,6994451,7214832,7416083,7594547
JPN,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800,126958472
KAZ,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275,17289224,17544126
KEN,35349040,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881,44863583,46050302
KGZ,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5957000
KHM,13320058,13525360,13728700,13933660,14144337,14363586,14593099,14832255,15078564,15328136,15577899
KIR,92329,94257,96310,98437,100566,102648,104662,106620,108544,110470,112423
KNA,49139,49818,50465,51093,51717,52352,52998,53650,54301,54944,55572
